="Ärende (År:nr)";="Registreringsdatum";="Ärendemening"
="SI 2026:8638";="2026-09-01";="Uppgift om Lillboskolan med huvudmannen OVANÅKERS KOMMUN i Ovanåkers kommun "
="SI 2026:8637";="2026-09-01";"Planerad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Prolympia Sundsvall 7-9 för Enskild huvudman ULNO AB i Sundsvalls kommun, läsåret 2026/2027 "
="SI 2026:8636";="2026-09-01";"Planerad tillsyn, Skolenhetsnivå, anpassad grundskola (inkl HM) av Nybyskolan för Offentlig huvudman ROBERTSFORS KOMMUN i Robertsfors kommun, läsåret 2026/2027 "
="SI 2026:8635";="2026-09-01";="Uppgift om Sjöparksskolan med huvudmannen GÄLLIVARE KOMMUN i Gällivare kommun "
="SI 2026:8634";="2026-08-31";="Ansökan om betygsrätt för vuxenutbildning från Vikarielänken AB i Ej relevant "
="SI 2026:8633";="2026-08-31";="Uppgift om Brönjaskolan med huvudmannen BODENS KOMMUN i Bodens kommun "
="SI 2026:8632";="2026-08-31";="Uppgift om Hammarbyskolan Södra med huvudmannen STOCKHOLMS KOMMUN i Stockholms kommun "
="SI 2026:8631";="2026-08-31";="Uppgift om Vuxenutbildning enhet 2 med huvudmannen SKÖVDE KOMMUN i Skövde kommun "
="SI 2026:8630";="2026-08-31";="Uppgift om Friskolan i Kärna med huvudmannen MONA HURTIG SKOL AB i Kungälvs kommun "
="SI 2026:8629";="2026-08-31";="Uppgift om Böskolans friskola med huvudmannen BÖSKOLANS FRISKOLA EK.FÖR. i Göteborgs kommun "
="SI 2026:8628";="2026-08-31";="Uppgift om Perslundaskolan åk 7-9 med huvudmannen OCKELBO KOMMUN i Ockelbo kommun "
="SI 2026:8627";="2026-08-31";="Uppgift om Söderporten 1 med huvudmannen NORRKÖPINGS KOMMUN i Norrköpings kommun "
="SI 2026:8626";="2026-08-31";"Riktad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Våxtorpsskolan 7-9 för Offentlig huvudman LAHOLMS KOMMUN i Laholms kommun, läsåret 2025/2026 "
="SI 2026:8625";="2026-08-31";="Uppgift om Geneskolan med huvudmannen ÖRNSKÖLDSVIKS KOMMUN i Örnsköldsviks kommun "
="SI 2026:8624";="2026-08-31";="Uppgift om Möllevångsskolan med huvudmannen MALMÖ KOMMUN i Malmö kommun "
="SI 2026:8623";="2026-08-31";="Avtal gällande Konsultstöd IT "
="SI 2026:8622";="2026-08-31";="Upphandling gällande Konsultstöd IT "
="SI 2026:8621";="2026-08-31";="Återkallande av godkännande som inte nyttjas för Edukatus Alliance AB vid Affärsgymnasiet Sports Academy Umeå  i Umeå kommun "
="SI 2026:8620";="2026-08-31";"Riktad tillsyn, Skolenhetsnivå, gymnasieskola (inkl. HM) av Kunskapscompaniets Gymnasium i Eskilstuna för Enskild huvudman Kunskapscompaniet Gymnasium KCGY AB i Eskilstuna kommun, läsåret 2026/2027 "
="SI 2026:8619";="2026-08-31";="Uppgift om Brogårdaskolan med huvudmannen BJUVS KOMMUN i Bjuvs kommun "
="SI 2026:8618";="2026-08-31";="Återkallande av godkännanden som inte nyttjas för ERASTOS AB vid Nyköpings Enskilda Gymnasium i Nyköpings kommun "
="SI 2026:8617";="2026-08-31";="Uppgift om Christinaskolan 7-9 med huvudmannen PITEÅ KOMMUN i Piteå kommun "
="SI 2026:8616";="2026-08-31";="Uppgift om Karlbergsskolan med huvudmannen KARLSKOGA KOMMUN i Karlskoga kommun "
="SI 2026:8615";="2026-08-31";="Uppgift om Borgsmoskolan 1 med huvudmannen NORRKÖPINGS KOMMUN i Norrköpings kommun "
="SI 2026:8614";="2026-08-31";="Uppgift om Bergstrands Gymnasium Stockholm med huvudmannen Bergstrands Gymnasium AB i Stockholms kommun "
="SI 2026:8613";="2026-08-31";="Anmälan om att utföra fjärrundervisning åt annan huvudman från BORÅS KOMMUN för Sundlergymnasiet i Vårgårda kommun "
="SI 2026:8612";="2026-08-31";="Uppgift om Brunnbyskolan med huvudmannen LINKÖPINGS KOMMUN i Linköpings kommun "
="SI 2026:8611";="2026-08-31";="Uppgift med huvudmannen SVEDALA KOMMUN i Svedala kommun "
="SI 2026:8610";="2026-08-31";="Uppgift om Möllevångsskolan med huvudmannen MALMÖ KOMMUN i Malmö kommun "
="SI 2026:8609";="2026-08-31";="Anmälan om att utföra fjärrundervisning åt annan huvudman från LUNDS KOMMUN för Freinetskolan i Lund i Lunds kommun "
="SI 2026:8608";="2026-08-31";="Uppgift om Ekbackens skola med huvudmannen LINDESBERGS KOMMUN i Lindesbergs kommun "
="SI 2026:8607";="2026-08-31";="Anmälan om att utföra fjärrundervisning åt annan huvudman från LUNDS KOMMUN för Freinetskolan i Lund i Lunds kommun "
="SI 2026:8606";="2026-08-31";="Uppgift med huvudmannen HELSINGBORGS KOMMUN i Helsingborgs kommun "
="SI 2026:8605";="2026-08-31";="Uppgift om Innovitaskolan Nyköping 2 med huvudmannen AcadeMedia Grundskolor AB i Nyköpings kommun "
="SI 2026:8604";="2026-08-31";="Uppgift om Vikbolandsskolan 2 med huvudmannen NORRKÖPINGS KOMMUN i Norrköpings kommun "
="SI 2026:8603";="2026-08-31";="Uppgift om Gullviksskolan med huvudmannen MALMÖ KOMMUN i Malmö kommun "
="SI 2026:8602";="2026-08-31";"Tematisk tillsyn, Yrkesförarutbildning för buss inom komvux, av Komvux Sjöbo för Offentlig huvudman SJÖBO KOMMUN i Sjöbo kommun, läsåret 2026/2027 "
="SI 2026:8601";="2026-08-31";="Uppgift om JENSEN grundskola Sickla med huvudmannen JENSEN EDUCATION COLLEGE AB i Nacka kommun "
="SI 2026:8600";="2026-08-31";="Uppgift om Molnets förskola med huvudmannen UPPSALA KOMMUN i Uppsala kommun "
="SI 2026:8599";="2026-08-31";="Uppgift om Snapphaneskolan med huvudmannen ÖSTRA GÖINGE KOMMUN i Östra Göinge kommun "
="SI 2026:8598";="2026-08-30";="Uppgift om Myrsjö anpassade grund- och gymnasieskola med huvudmannen NACKA KOMMUN i Nacka kommun "
="SI 2026:8597";="2026-08-30";="Uppgift med huvudmannen ÖSTRA GÖINGE KOMMUN i Östra Göinge kommun "
